Year,Board Code,Board Name,School Code,School Name,Mail Address Line 1,Mail Address Line 2,Mailing Postal Code,Civic Address Line 1,Civic Address Line 2,Civic Postal Code,Telephone,Fax,Email
2019-2020,54,Halifax Regional Centre for Education,533,Prince Andrew High School,31 Woodlawn Rd,Dartmouth NS,B2W 2R7,31 Woodlawn Rd,Dartmouth NS,B2W 2R7,902-435-8452,902-435-8398,pah@hrsb.ns.ca
2019-2020,54,Halifax Regional Centre for Education,359,Robert K. Turner Elementary School,141 Circassion Dr,Dartmouth NS,B2W 4N7,141 Circassion Dr,Dartmouth NS,B2W 4N7,902-464-5205,902-464-5208,rkt@hrsb.ns.ca
2019-2020,54,Halifax Regional Centre for Education,603,Rockingham Elementary School,31 Tremont Dr,Halifax NS,B3M 1X8,31 Tremont Dr,Halifax NS,B3M 1X8,902-457-8986,902-457-8993,rockingham@hrce.ca
2019-2020,54,Halifax Regional Centre for Education,609,Rockingstone Heights School,1 Regan Dr,Halifax NS,B3R 2J1,1 Regan Dr,Halifax NS,B3R 2J1,902-479-4452,902-479-4459,rhes@hrce.ca
2019-2020,54,Halifax Regional Centre for Education,581,Saint Mary's Elementary School,5614 Morris St,Halifax NS,B3J 1C2,5614 Morris St,Halifax NS,B3J 1C2,902-421-6749,902-421-2655,stmarys@hrsb.ns.ca
2019-2020,54,Halifax Regional Centre for Education,534,Shannon Park Elementary School,75 Iroquois Dr,Dartmouth NS,B3A 4M5,75 Iroquois Dr,Dartmouth NS,B3A 4M5,902-464-2084,902-464-2866,spes@hrce.ca
2019-2020,54,Halifax Regional Centre for Education,589,Sir Charles Tupper School,1930 Cambridge St,Halifax NS,B3H 4S5,1930 Cambridge St,Halifax NS,B3H 4S5,902-421-6775,902-421-3049,tupper@hrce.ca
2019-2020,54,Halifax Regional Centre for Education,320,Sir Robert Borden Junior High School,16 Evergreen Dr,Dartmouth NS,B2W 4A7,16 Evergreen Dr,Dartmouth NS,B2W 4A7,902-464-5140,902-464-5150,srbjh@hrsb.ns.ca
2019-2020,54,Halifax Regional Centre for Education,535,South Woodside School,5 Everette St,Dartmouth NS,B2W 1G2,5 Everette St,Dartmouth NS,B2W 1G2,902-464-2090,902-464-2778,swes@hrsb.ns.ca
2019-2020,54,Halifax Regional Centre for Education,593,Springvale Elementary School,92 Downs Ave,Halifax NS,B3N 1Y6,92 Downs Ave,Halifax NS,B3N 1Y6,902-479-4606,902-479-4473,sprvale@hrce.ca
2019-2020,54,Halifax Regional Centre for Education,575,St. Agnes Junior High School,6981 Mumford Rd,Halifax NS,B3L 2H7,6981 Mumford Rd,Halifax NS,B3L 2H7,902-493-5132,902-493-5140,stagnes@hrce.ca
2019-2020,54,Halifax Regional Centre for Education,577,St. Catherine's Elementary School,3299 Connolly St,Halifax NS,B3L 3P7,3299 Connolly St,Halifax NS,B3L 3P7,902-493-5143,902-493-5163,stcath@hrsb.ns.ca
2019-2020,54,Halifax Regional Centre for Education,580,St. Joseph's-Alexander McKay Elementary School,5389 Russell St,Halifax NS,B3K 1W8,5389 Russell St,Halifax NS,B3K 1W8,902-493-5180,902-493-5186,sjam@hrce.ca
2019-2020,54,Halifax Regional Centre for Education,586,St. Stephen's Elementary School,3669 Highland Ave,Halifax NS,B3K 4L9,3669 Highland Ave,Halifax NS,B3K 4L9,902-493-5155,902-493-5158,sses@hrce.ca
2019-2020,54,Halifax Regional Centre for Education,591,Westmount Elementary School,6700 Edward Arab Ave,Halifax NS,B3L 2E1,6700 Edward Arab Ave,Halifax NS,B3L 2E1,902-493-5164,902-493-5168,wmount@hrce.ca
2019-2020,57,Conseil scolaire acadien provincial,947,École Beaubassin,"54, boul. Larry Uteck",Halifax N.-É.,B3M 4R9,"54, boul. Larry Uteck",Halifax N.-É.,B3M 4R9,902-457-6810,902-457-6809,ebb@csap.ca
2019-2020,57,Conseil scolaire acadien provincial,948,École Bois-Joli,"211, av. du Portage",Dartmouth N.-É.,B2X 3T4,"211, av. du Portage",Dartmouth N.-É.,B2X 3T4,902-433-7070,902-433-7077,ebj@csap.ca
2019-2020,57,Conseil scolaire acadien provincial,68,École du Carrefour,"201A, av. du Portage",Dartmouth N.-É.,B2X 3T4,"201A, av. du Portage",Dartmouth N.-É.,B2X 3T4,902-433-7000,902-433-7020,ecgh@csap.ca
2019-2020,57,Conseil scolaire acadien provincial,1197,École Mer et Monde,"5750, rue Atlantic",Halifax N.-É.,B3H 1G9,"5750, rue Atlantic",Halifax N.-É.,B3H 1G9,902-480-2180,902-480-2193,emm@csap.ca
2019-2020,57,Conseil scolaire acadien provincial,1152,École secondaire du Sommet,"500,  boul. Larry Uteck",Halifax N.-É.,B3M 0E6,"500,  boul. Larry Uteck",Halifax N.-É.,B3M 0E6,902-832-4302,902-832-4352,ess@csap.ca
