GEOGRAPHY,YEAR,VIOLATIONS,INCIDENTS,RATES
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2013 0:00,"Total, possession, other Controlled Drugs and Substances Act drugs",0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2016 0:00,"Possession, cannabis",631,148.48
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2011 0:00,Homicide,0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2014 0:00,"Total cannabis, trafficking, production or distribution",0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2017 0:00,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution",0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2015 0:00,"Sexual assault, level 3, aggravated",0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2015 0:00,"Possession, cocaine",0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2015 0:00,"Sexual assault, level 1",0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2012 0:00,Homicide,0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2010 0:00,"Sexual assault, level 3, aggravated",0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2017 0:00,"Possession, cannabis",0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2015 0:00,"Total cocaine, trafficking, production or distribution",0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2012 0:00,"Possession, cannabis",0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2014 0:00,Total theft of motor vehicle,406,98.16
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2017 0:00,"Total cocaine, trafficking, production or distribution",0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2013 0:00,"Assault, level 3, aggravated",0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2014 0:00,"Total cannabis, trafficking, production or distribution",0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2017 0:00,"Sexual assault, level 3, aggravated",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2014 0:00,Total sexual violations against children,0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2015 0:00,"Possession, cannabis",0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2014 0:00,"Assault, level 3, aggravated",0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2010 0:00,Total robbery,0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2016 0:00,Attempted murder,12,2.82
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2011 0:00,"Sexual assault, level 3, aggravated",6,1.49
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2017 0:00,"Sexual assault, level 2, weapon or bodily harm",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2013 0:00,"Sexual assault, level 2, weapon or bodily harm",0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2011 0:00,Total sexual violations against children,20,4.97
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2016 0:00,"Total cocaine, trafficking, production or distribution",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2011 0:00,Homicide,0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2016 0:00,Total Drug violations,0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2015 0:00,"Assault, level 2, weapon or bodily harm",0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2015 0:00,"Total cannabis, trafficking, production or distribution",0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2011 0:00,Total Drug violations,1469,365.02
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2012 0:00,"Possession, cocaine",0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2017 0:00,"Assault, level 1",1863,431.53
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2013 0:00,Homicide,0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2011 0:00,Total Drug violations,0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2010 0:00,Total breaking and entering,2493,625.99
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2010 0:00,Homicide,0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2010 0:00,"Possession, cannabis",834,209.42
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2012 0:00,"Total cannabis, trafficking, production or distribution",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2017 0:00,"Total, possession, other Controlled Drugs and Substances Act drugs",0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2015 0:00,"Sexual assault, level 2, weapon or bodily harm",3,0.72
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2013 0:00,"Assault, level 2, weapon or bodily harm",521,127.04
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2015 0:00,"Possession, cannabis",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2014 0:00,"Sexual assault, level 1",0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2015 0:00,Homicide,0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2016 0:00,"Possession, cocaine",0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2013 0:00,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2016 0:00,Total sexual violations against children,0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2013 0:00,"Total cannabis, trafficking, production or distribution",1,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2011 0:00,Total robbery,0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2015 0:00,Total Drug violations,0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2011 0:00,"Sexual assault, level 1",344,85.48
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2016 0:00,"Sexual assault, level 2, weapon or bodily harm",0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2012 0:00,Total breaking and entering,1527,375.37
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2011 0:00,"Possession, cocaine",85,21.12
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2015 0:00,"Sexual assault, level 1",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2010 0:00,"Sexual assault, level 3, aggravated",0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2016 0:00,Homicide,0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2014 0:00,Total Drug violations,0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2016 0:00,"Possession, cocaine",0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2010 0:00,"Possession, cannabis",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2010 0:00,Total impaired driving,0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2014 0:00,"Assault, level 2, weapon or bodily harm",0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2016 0:00,Total sexual violations against children,0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2011 0:00,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2012 0:00,Homicide,0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2011 0:00,Homicide,18,4.47
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2013 0:00,Total theft of motor vehicle,0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2017 0:00,"Total cocaine, trafficking, production or distribution",0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2012 0:00,"Assault, level 2, weapon or bodily harm",0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2014 0:00,Total sexual violations against children,0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2013 0:00,"Assault, level 1",1719,419.18
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2010 0:00,Total Drug violations,4,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2011 0:00,"Assault, level 3, aggravated",0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2017 0:00,"Possession, cocaine",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2015 0:00,"Total, possession, other Controlled Drugs and Substances Act drugs",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2016 0:00,Total breaking and entering,0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2016 0:00,Total Drug violations,0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2010 0:00,Homicide,11,2.76
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2017 0:00,Attempted murder,0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2010 0:00,Total breaking and entering,0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2010 0:00,Total sexual violations against children,35,8.79
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2012 0:00,Total sexual violations against children,0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2010 0:00,Total Drug violations,0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2014 0:00,"Possession, cannabis",0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2012 0:00,Total impaired driving,0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2017 0:00,Total Drug violations,1121,259.66
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2017 0:00,"Total, possession, other Controlled Drugs and Substances Act drugs",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2016 0:00,Homicide,0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2013 0:00,"Total cannabis, trafficking, production or distribution",200,48.77
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2017 0:00,Homicide,0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2016 0:00,"Total, possession, other Controlled Drugs and Substances Act drugs",0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2011 0:00,"Total cocaine, trafficking, production or distribution",115,28.58
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2014 0:00,Attempted murder,32,7.74
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2010 0:00,Total robbery,0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2016 0:00,"Sexual assault, level 1",0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2010 0:00,"Sexual assault, level 1",0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2014 0:00,Total sexual violations against children,47,11.36
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2010 0:00,"Total, possession, other Controlled Drugs and Substances Act drugs",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2011 0:00,"Possession, cocaine",0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2016 0:00,"Total cocaine, trafficking, production or distribution",82,19.3
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2016 0:00,"Total, possession, other Controlled Drugs and Substances Act drugs",0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2010 0:00,Total impaired driving,1080,271.19
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2015 0:00,"Assault, level 2, weapon or bodily harm",0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2013 0:00,"Possession, cocaine",0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2014 0:00,"Sexual assault, level 1",0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2014 0:00,"Sexual assault, level 2, weapon or bodily harm",1,0.24
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2014 0:00,"Sexual assault, level 2, weapon or bodily harm",0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2013 0:00,Total robbery,0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2013 0:00,"Assault, level 3, aggravated",0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2011 0:00,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution",32,7.95
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2017 0:00,"Total, possession, other Controlled Drugs and Substances Act drugs",124,28.72
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2015 0:00,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2012 0:00,"Assault, level 2, weapon or bodily harm",0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2012 0:00,"Possession, cocaine",79,19.42
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2012 0:00,"Total, possession, other Controlled Drugs and Substances Act drugs",0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2014 0:00,"Assault, level 1",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2012 0:00,"Sexual assault, level 3, aggravated",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2013 0:00,"Total cocaine, trafficking, production or distribution",0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2017 0:00,Total breaking and entering,0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2016 0:00,"Sexual assault, level 2, weapon or bodily harm",0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2015 0:00,"Possession, cocaine",0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2014 0:00,"Total cannabis, trafficking, production or distribution",200,48.36
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2015 0:00,"Sexual assault, level 3, aggravated",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2013 0:00,"Possession, cocaine",0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2017 0:00,Attempted murder,15,3.47
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2014 0:00,"Sexual assault, level 3, aggravated",0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2010 0:00,Attempted murder,0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2011 0:00,Total theft of motor vehicle,0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2013 0:00,"Assault, level 2, weapon or bodily harm",0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2011 0:00,"Sexual assault, level 2, weapon or bodily harm",4,0.99
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2010 0:00,"Assault, level 3, aggravated",0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2013 0:00,"Sexual assault, level 3, aggravated",1,0.24
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2012 0:00,"Possession, cocaine",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2013 0:00,"Sexual assault, level 1",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2014 0:00,Homicide,0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2014 0:00,Total breaking and entering,1158,279.98
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2010 0:00,Total theft of motor vehicle,0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2010 0:00,Total theft of motor vehicle,0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2012 0:00,Total robbery,325,79.89
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2017 0:00,"Sexual assault, level 3, aggravated",0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2016 0:00,"Assault, level 1",0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2017 0:00,"Assault, level 3, aggravated",0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2011 0:00,"Sexual assault, level 3, aggravated",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2014 0:00,"Assault, level 1",0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2010 0:00,"Assault, level 2, weapon or bodily harm",0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2014 0:00,Attempted murder,0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2014 0:00,Total Drug violations,0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2010 0:00,"Possession, cocaine",0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2012 0:00,"Sexual assault, level 3, aggravated",0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2013 0:00,"Total cocaine, trafficking, production or distribution",0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2016 0:00,"Sexual assault, level 1",330,77.65
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2014 0:00,Total impaired driving,0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2017 0:00,Total impaired driving,0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2013 0:00,Total impaired driving,0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2011 0:00,"Total cannabis, trafficking, production or distribution",0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2016 0:00,Total theft of motor vehicle,0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2011 0:00,"Possession, cannabis",952,236.56
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2012 0:00,Total theft of motor vehicle,0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2015 0:00,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution",0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2012 0:00,Homicide,12,2.95
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2015 0:00,"Total cocaine, trafficking, production or distribution",83,19.91
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2010 0:00,"Sexual assault, level 1",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2013 0:00,"Possession, cannabis",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2011 0:00,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution",1,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2013 0:00,Homicide,0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2012 0:00,Total breaking and entering,0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2014 0:00,"Total, possession, other Controlled Drugs and Substances Act drugs",93,22.49
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2015 0:00,"Sexual assault, level 3, aggravated",1,0.24
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2011 0:00,"Assault, level 1",2142,532.25
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2010 0:00,"Sexual assault, level 2, weapon or bodily harm",0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2016 0:00,Total impaired driving,914,215.07
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2013 0:00,"Possession, cocaine",73,17.8
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2011 0:00,Total impaired driving,1110,275.82
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2010 0:00,"Total cocaine, trafficking, production or distribution",98,24.61
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2013 0:00,Total Drug violations,1,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2017 0:00,Total sexual violations against children,0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2016 0:00,"Assault, level 1",0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2017 0:00,Total robbery,231,53.51
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2015 0:00,"Assault, level 1",0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2015 0:00,"Total cocaine, trafficking, production or distribution",0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2015 0:00,Total impaired driving,908,217.82
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2012 0:00,"Assault, level 2, weapon or bodily harm",626,153.89
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2012 0:00,"Sexual assault, level 1",330,81.12
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2012 0:00,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2015 0:00,Total breaking and entering,0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2014 0:00,Total sexual violations against children,0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2015 0:00,"Possession, cocaine",0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2014 0:00,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2014 0:00,"Possession, cocaine",0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2013 0:00,Total impaired driving,0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2013 0:00,"Total cannabis, trafficking, production or distribution",0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2015 0:00,"Sexual assault, level 2, weapon or bodily harm",0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2011 0:00,Total breaking and entering,0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2013 0:00,"Sexual assault, level 1",0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2010 0:00,Total sexual violations against children,0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2014 0:00,"Total, possession, other Controlled Drugs and Substances Act drugs",0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2010 0:00,"Total cannabis, trafficking, production or distribution",0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2012 0:00,"Sexual assault, level 2, weapon or bodily harm",0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2012 0:00,"Total, possession, other Controlled Drugs and Substances Act drugs",0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2017 0:00,Homicide,0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2014 0:00,"Possession, cannabis",0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2013 0:00,"Possession, cannabis",0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2016 0:00,"Possession, cannabis",0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2010 0:00,"Assault, level 1",2287,574.26
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2014 0:00,Total robbery,191,46.18
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2016 0:00,Total robbery,0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2016 0:00,Total breaking and entering,1018,239.54
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2012 0:00,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution",0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2017 0:00,"Total cannabis, trafficking, production or distribution",0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2015 0:00,Homicide,8,1.92
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2010 0:00,Homicide,0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2016 0:00,"Assault, level 1",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2016 0:00,"Assault, level 2, weapon or bodily harm",0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2012 0:00,Attempted murder,0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2011 0:00,"Possession, cannabis",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2017 0:00,"Sexual assault, level 1",0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2012 0:00,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution",0,0
